#Host Common Name|Host Species|Order|Family|Genus|Species|ITIS Number|Species Type
spotted flycatcher|Muscicapa striata|Passeriformes|Muscicapidae|Muscicapa|striata|561250|Avian
Tessmann's flycatcher|Muscicapa tessmanni|Passeriformes|Muscicapidae|Muscicapa|tessmanni|561251|Avian
black-footed ferret|Mustela nigripes|Carnivora|Mustelidae|Mustela|nigripes|180557|Non-human Mammal
ferret|Mustela sp.|Carnivora|Mustelidae|Mustela|Unknown|180552|Non-human Mammal
weasel|Mustela sp.|Carnivora|Mustelidae|Mustela|Unknown|180552|Non-human Mammal
American mink|Mustela vison|Carnivora|Mustelidae|Mustela|vison|180553|Non-human Mammal
mink|Mustelidae|Carnivora|Mustelidae|Unknown|Unknown|180545|Non-human Mammal
otter|Mustelidae|Carnivora|Mustelidae|Unknown|Unknown|180545|Non-human Mammal
wood stork|Mycteria americana|Ciconiiformes|Ciconiidae|Mycteria|americana|174897|Avian
great crested flycatcher|Myiarchus crinitus|Passeriformes|Tyrannidae|Myiarchus|crinitus|178309|Avian
Nutting's flycatcher|Myiarchus nuttingi|Passeriformes|Tyrannidae|Myiarchus|nuttingi|178323|Avian
dusky-capped flycatcher|Myiarchus tuberculifer|Passeriformes|Tyrannidae|Myiarchus|tuberculifer|178319|Avian
brown-crested flycatcher|Myiarchus tyrannulus|Passeriformes|Tyrannidae|Myiarchus|tyrannulus|178312|Avian
white-tailed robin|Myiomela leucura|Passeriformes|Muscicapidae|Myiomela|leucura|916340|Avian
grey tit-flycatcher|Myioparus plumbeus|Passeriformes|Muscicapidae|Myioparus|plumbeus|561335|Avian
monk parakeet|Myiopsitta monachus|Passeriformes|Psittacidae|Myiopsitta|monachus|177723|Avian
social flycatcher|Myiozetetes similis|Passeriformes|Tyrannidae|Myiozetetes|similis|561364|Avian
long-fingered bat|Myotis capaccinii|Chiroptera|Vespertilionidae|Myotis|capaccinii|632007|Non-human Mammal
Geoffroy's bat|Myotis emarginatus|Chiroptera|Vespertilionidae|Myotis|emarginatus|632015|Non-human Mammal
Horsfield's bat|Myotis horsfieldii|Chiroptera|Vespertilionidae|Myotis|horsfieldii|632021|Non-human Mammal
eastern small-footed myotis|Myotis leibii|Chiroptera|Vespertilionidae|Myotis|leibii|179999|Non-human Mammal
little brown bat|Myotis lucifugus|Chiroptera|Vespertilionidae|Myotis|lucifugus|179988|Non-human Mammal
Felten's myotis|Myotis punicus|Chiroptera|Vespertilionidae|Myotis|punicus|946256|Non-human Mammal
northern long-eared bat|Myotis septentrionalis|Chiroptera|Vespertilionidae|Myotis|septentrionalis|180000|Non-human Mammal
Himalayan whiskered bat|Myotis siligorensis|Chiroptera|Vespertilionidae|Myotis|siligorensis|632056|Non-human Mammal
mouse-eared bat|Myotis sp.|Chiroptera|Vespertilionidae|Myotis|Unknown|632035|Non-human Mammal
sooty chat|Myrmecocichla nigra|Passeriformes|Muscicapidae|Myrmecocichla|nigra|561390|Avian
giant anteater|Myrmecophaga tridactyla|Pilosa|Myrmecophagidae|Myrmecophaga|tridactyla|624911|Non-human Mammal
Egyptian cobra|Naja haje|Squamata|Elapidae|Naja|haje|700627|Other
dice snake|Natrix tessellata|Squamata|Colubridae|Natrix|tessellata|700800|Other
sunbird|Nectariniidae|Passeriformes|Nectariniidae|Unknown|Unknown|178807|Avian
Orinoco goose|Neochen jubata|Anseriformes|Anatidae|Neochen|jubata|175212|Avian
red-tailed ant-thrush|Neocossyphus rufus|Passeriformes|Turdidae|Neocossyphus|rufus|561568|Avian
woodrat|Neotoma sp.|Rodentia|Cricetidae|Neotoma|Unknown|180369|Non-human Mammal
gray-headed oliveback|Nesocharis capistrata|Passeriformes|Estrildidae|Nesocharis|capistrata|561595|Avian
southern pochard|Netta erythrophthalma|Anseriformes|Anatidae|Netta|erythrophthalma|175232|Avian
rosy-billed pochard|Netta peposaca|Anseriformes|Anatidae|Netta|peposaca|175233|Avian
red-crested pochard|Netta rufina|Anseriformes|Anatidae|Netta|rufina|175234|Avian
cotton pygmy goose|Nettapus coromandelianus|Anseriformes|Anatidae|Nettapus|coromandelianus|175241|Avian
western nicator|Nicator chloris|Passeriformes|Pycnonotidae|Nicator|chloris|561611|Avian
yellow-throated nicator|Nicator vireo|Passeriformes|Pycnonotidae|Nicator|vireo|561613|Avian
chestnut-breasted negrofinch|Nigrita bicolor|Passeriformes|Estrildidae|Nigrita|bicolor|561614|Avian
pale-fronted negrofinch|Nigrita luteifrons|Passeriformes|Estrildidae|Nigrita|luteifrons|561617|Avian
brown hawk owl|Ninox scutulata|Strigiformes|Strigidae|Ninox|scutulata|555481|Avian
crested hawk-eagle|Nisaetus cirrhatus|Accipitriformes|Accipitridae|Nisaetus|cirrhatus|824093|Avian
masked duck|Nomonyx dominicus|Anseriformes|Anatidae|Nomonyx|dominicus|554350|Avian
long-billed curlew|Numenius americanus|Charadriiformes|Scolopacidae|Numenius|americanus|176593|Avian
Eurasian curlew|Numenius arquata|Charadriiformes|Scolopacidae|Numenius|arquata|176596|Avian
little curlew|Numenius minutus|Charadriiformes|Scolopacidae|Numenius|minutus|176606|Avian
whimbrel|Numenius phaeopus|Charadriiformes|Scolopacidae|Numenius|phaeopus|176599|Avian
helmeted guineafowl|Numida meleagris|Galliformes|Numididae|Numida|meleagris|176126|Avian
guinea fowl|Numida sp.|Galliformes|Numididae|Numida|Unknown|176125|Avian
yellow-crowned night-heron|Nyctanassa violacea|Pelecaniformes|Ardeidae|Nyctanassa|violacea|174842|Avian
Egyptian slit-faced bat|Nycteris thebaica|Chiroptera|Nycteridae|Nycteris|thebaica|631749|Non-human Mammal
evening bat|Nycticeius humeralis|Chiroptera|Vespertilionidae|Nycticeius|humeralis|180022|Non-human Mammal
rufous night heron|Nycticorax caledonicus|Pelecaniformes|Ardeidae|Nycticorax|caledonicus|174837|Avian
black-crowned night-heron|Nycticorax nycticorax|Pelecaniformes|Ardeidae|Nycticorax|nycticorax|174832|Avian
South American painted snipe|Nycticryphes semicollaris|Charadriiformes|Rostratulidae|Nycticryphes|semicollaris|176466|Avian
cockatiel|Nymphicus hollandicus|Psittaciformes|Cacatuidae|Nymphicus|hollandicus|177497|Avian
fork-tailed storm petrel|Oceanodroma furcata|Procellariiformes|Hydrobatidae|Oceanodroma|furcata|174625|Avian
ashy storm petrel|Oceanodroma homochroa|Procellariiformes|Hydrobatidae|Oceanodroma|homochroa|174634|Avian
Leach's storm petrel|Oceanodroma leucorhoa|Procellariiformes|Hydrobatidae|Oceanodroma|leucorhoa|174628|Avian
Tristram's storm petrel|Oceanodroma tristrami|Procellariiformes|Hydrobatidae|Oceanodroma|tristrami|174641|Avian
crested pigeon|Ocyphaps lophotes|Columbiformes|Columbidae|Ocyphaps|lophotes|177238|Avian
walrus|Odobenidae|Carnivora|Odobenidae|Unknown|Unknown|180637|Non-human Mammal
Pacific walrus|Odobenus rosmarus divergens|Carnivora|Odobenidae|Odobenus|rosmarus divergens|622045|Non-human Mammal
white-tailed deer|Odocoileus virginianus|Artiodactyla|Cervidae|Odocoileus|virginianus|180699|Non-human Mammal
Namaqua dove|Oena capensis|Columbiformes|Columbidae|Oena|capensis|177216|Avian
northern wheatear|Oenanthe oenanthe|Passeriformes|Muscicapidae|Oenanthe|oenanthe|179814|Avian
yellow-eared parrot|Ognorhynchus icterotis|Psittaciformes|Psittacidae|Ognorhynchus|icterotis|554905|Avian
muskrat|Ondatra zibethicus|Rodentia|Cricetidae|Ondatra|zibethicus|180318|Non-human Mammal
Aleutian tern|Onychoprion aleuticus|Charadriiformes|Sternidae|Onychoprion|aleuticus|824103|Avian
sooty tern|Onychoprion fuscatus|Charadriiformes|Sternidae|Onychoprion|fuscatus|824105|Avian
killer whale|Orcinus orca|Cetacea|Delphinidae|Orcinus|orca|180469|Non-human Mammal
African golden-oriole|Oriolus auratus|Passeriformes|Oriolidae|Oriolus|auratus|561691|Avian
Eurasian golden oriole|Oriolus oriolus|Passeriformes|Oriolidae|Oriolus|oriolus|561707|Avian
chestnut-winged chachalaca|Ortalis garrula|Galliformes|Cracidae|Ortalis|garrula|175722|Avian
dark-necked tailorbird|Orthotomus atrogularis|Passeriformes|Cisticolidae|Orthotomus|atrogularis|561724|Avian
common tailorbird|Orthotomus sutorius|Passeriformes|Cisticolidae|Orthotomus|sutorius|561738|Avian
European rabbit|Oryctolagus cuniculus|Lagomorpha|Leporidae|Oryctolagus|cuniculus|180129|Non-human Mammal
thick-billed seed-finch|Oryzoborus funereus|Passeriformes|Thraupidae|Oryzoborus|funereus|726211|Avian
marsh rice rat|Oryzomys palustris|Rodentia|Cricetidae|Oryzomys|palustris|180336|Non-human Mammal
South American sea lion|Otaria flavescens|Carnivora|Otariidae|Otaria|flavescens|180619|Non-human Mammal
sea lion|Otariidae|Carnivora|Otariidae|Unknown|Unknown|180615|Non-human Mammal
great bustard|Otis tarda|Otidiformes|Otididae|Otis|tarda|176419|Avian
Indian scops owl|Otus bakkamoena|Strigiformes|Strigidae|Otus|bakkamoena|555382|Avian
Eurasian scops-owl|Otus scops|Strigiformes|Strigidae|Otus|scops|555376|Avian
Oriental scops-owl|Otus sunia|Strigiformes|Strigidae|Otus|sunia|177882|Avian
sheep|Ovis aries|Artiodactyla|Bovidae|Ovis|aries|552475|Non-human Mammal
blue-billed duck|Oxyura australis|Anseriformes|Anatidae|Oxyura|australis|175178|Avian
ruddy duck|Oxyura jamaicensis|Anseriformes|Anatidae|Oxyura|jamaicensis|175175|Avian
white-headed duck|Oxyura leucocephala|Anseriformes|Anatidae|Oxyura|leucocephala|175179|Avian
lake duck|Oxyura vittata|Anseriformes|Anatidae|Oxyura|vittata|175181|Avian
rose-throated becard|Pachyramphus aglaiae|Passeriformes|Cotingidae|Pachyramphus|aglaiae|178384|Avian
harp seal|Pagophilus groenlandicus|Carnivora|Phocidae|Pagophilus|groenlandicus|622022|Non-human Mammal
civet|Paguma larvata|Carnivora|Viverridae|Paguma|larvata|621984|Non-human Mammal
osprey|Pandion haliaetus|Accipitriformes|Pandionidae|Pandion|haliaetus|175590|Avian
lion|Panthera leo|Carnivora|Felidae|Panthera|leo|183803|Non-human Mammal
leopard|Panthera pardus|Carnivora|Felidae|Panthera|pardus|183804|Non-human Mammal
Malayan tiger|Panthera tigris tigris|Carnivora|Felidae|Panthera|tigris tigris|183806|Non-human Mammal
Harris's hawk|Parabuteo unicinctus|Accipitriformes|Accipitridae|Parabuteo|unicinctus|175397|Avian
spotted rail|Pardirallus maculatus|Gruiformes|Rallidae|Pardirallus|maculatus|176394|Avian
northern waterthrush|Parkesia noveboracensis|Passeriformes|Parulidae|Parkesia|noveboracensis|950010|Avian
red-crested cardinal|Paroaria coronata|Passeriformes|Thraupidae|Paroaria|coronata|179554|Avian
warbler|Parulidae|Passeriformes|Parulidae|Unknown|Unknown|178842|Avian
Eurasian great tit|Parus major|Passeriformes|Paridae|Parus|major|561864|Avian
great tit|Parus major|Passeriformes|Paridae|Parus|major|561864|Avian
house sparrow|Passer domesticus|Passeriformes|Passeridae|Passer|domesticus|179628|Avian
plain-backed sparrow|Passer flaveolus|Passeriformes|Passeridae|Passer|flaveolus|561877|Avian
gray-headed sparrow|Passer griseus|Passeriformes|Passeridae|Passer|griseus|561879|Avian
northern gray-headed sparrow|Passer griseus|Passeriformes|Passeridae|Passer|griseus|561879|Avian
Abd al Kuri sparrow|Passer hemileucus|Passeriformes|Passeridae|Passer|hemileucus|916517|Avian
Spanish sparrow|Passer hispaniolensis|Passeriformes|Passeridae|Passer|hispaniolensis|561880|Avian
Eurasian tree sparrow|Passer montanus|Passeriformes|Passeridae|Passer|montanus|179630|Avian
sparrow|Passer sp.|Passeriformes|Passeridae|Passer|Unknown|179627|Avian
Savannah sparrow|Passerculus sandwichensis|Passeriformes|Emberizidae|Passerculus|sandwichensis|179314|Avian
fox sparrow|Passerella iliaca|Passeriformes|Emberizidae|Passerella|iliaca|179464|Avian
songbird|Passeriformes|Passeriformes|Unknown|Unknown|Unknown|178265|Avian
lazuli bunting|Passerina amoena|Passeriformes|Cardinalidae|Passerina|amoena|179151|Avian
blue grosbeak|Passerina caerulea|Passeriformes|Cardinalidae|Passerina|caerulea|726198|Avian
painted bunting|Passerina ciris|Passeriformes|Cardinalidae|Passerina|ciris|179156|Avian
indigo bunting|Passerina cyanea|Passeriformes|Cardinalidae|Passerina|cyanea|179150|Avian
pale-vented pigeon|Patagioenas cayennensis|Columbiformes|Columbidae|Patagioenas|cayennensis|676897|Avian
red-billed pigeon|Patagioenas flavirostris|Columbiformes|Columbidae|Patagioenas|flavirostris|676900|Avian
spot-winged pigeon|Patagioenas maculosa|Columbiformes|Columbidae|Patagioenas|maculosa|676904|Avian
picazuro pigeon|Patagioenas picazuro|Columbiformes|Columbidae|Patagioenas|picazuro|676907|Avian
common peafowl|Pavo cristatus|Galliformes|Phasianidae|Pavo|cristatus|176113|Avian
Indian peafowl|Pavo cristatus|Galliformes|Phasianidae|Pavo|cristatus|176113|Avian
peacock|Pavo sp.|Galliformes|Phasianidae|Pavo|Unknown|176112|Avian
peafowl|Pavo sp.|Galliformes|Phasianidae|Pavo|Unknown|176112|Avian
fisher|Pekania pennanti|Carnivora|Mustelidae|Pekania|pennanti|1086061|Non-human Mammal
stork-billed kingfisher|Pelargopsis capensis|Coraciiformes|Alcedinidae|Pelargopsis|capensis|554581|Avian
American white pelican|Pelecanus erythrorhynchos|Pelecaniformes|Pelecanidae|Pelecanus|erythrorhynchos|174684|Avian
brown pelican|Pelecanus occidentalis|Pelecaniformes|Pelecanidae|Pelecanus|occidentalis|174685|Avian
great white pelican|Pelecanus onocrotalus|Pelecaniformes|Pelecanidae|Pelecanus|onocrotalus|174693|Avian
spot-billed pelican|Pelecanus philippensis|Pelecaniformes|Pelecanidae|Pelecanus|philippensis|174694|Avian
pelican|Pelecanus sp.|Pelecaniformes|Pelecanidae|Pelecanus|Unknown|174683|Avian
Peruvian pelican|Pelecanus thagus|Pelecaniformes|Pelecanidae|Pelecanus|thagus|174690|Avian
puff-throated babbler|Pellorneum ruficeps|Passeriformes|Pellorneidae|Pellorneum|ruficeps|561900|Avian
buff-breasted babbler|Pellorneum tickelli|Passeriformes|Pellorneidae|Pellorneum|tickelli|561901|Avian
Cauca guan|Penelope perspicax|Galliformes|Cracidae|Penelope|perspicax|175739|Avian
crested guan|Penelope purpurascens|Galliformes|Cracidae|Penelope|purpurascens|175741|Avian
partridge|Perdix perdix|Galliformes|Phasianidae|Perdix|perdix|175915|Avian
eastern pipistrelle bat|Perimyotis subflavus|Chiroptera|Vespertilionidae|Perimyotis|subflavus|947299|Non-human Mammal
gray jay|Perisoreus canadensis|Passeriformes|Corvidae|Perisoreus|canadensis|179667|Avian
European honey-buzzard|Pernis apivorus|Accipitriformes|Accipitridae|Pernis|apivorus|175454|Avian
white-footed mouse|Peromyscus leucopus|Rodentia|Cricetidae|Peromyscus|leucopus|180278|Non-human Mammal
deer mouse|Peromyscus sp.|Rodentia|Cricetidae|Peromyscus|Unknown|180275|Non-human Mammal
cliff swallow|Petrochelidon pyrrhonota|Passeriformes|Hirundinidae|Petrochelidon|pyrrhonota|178455|Avian
Bachman's sparrow|Peucaea aestivalis|Passeriformes|Emberizidae|Peucaea|aestivalis|997733|Avian
rufous-fronted thornbird|Phacellodomus rufifrons|Passeriformes|Furnariidae|Phacellodomus|rufifrons|561956|Avian
little thornbird|Phacellodomus sibilatrix|Passeriformes|Furnariidae|Phacellodomus|sibilatrix|561957|Avian
straight-billed hermit|Phaethornis bourcieri|Apodiformes|Trochilidae|Phaethornis|bourcieri|555037|Avian
grey-chinned hermit|Phaethornis griseogularis|Apodiformes|Trochilidae|Phaethornis|griseogularis|555048|Avian
European shag|Phalacrocorax aristotelis|Suliformes|Phalacrocoracidae|Phalacrocorax|aristotelis|174733|Avian
double-crested cormorant|Phalacrocorax auritus|Suliformes|Phalacrocoracidae|Phalacrocorax|auritus|174717|Avian
neotropic cormorant|Phalacrocorax brasilianus|Suliformes|Phalacrocoracidae|Phalacrocorax|brasilianus|554375|Avian
great cormorant|Phalacrocorax carbo|Suliformes|Phalacrocoracidae|Phalacrocorax|carbo|174715|Avian
rock shag|Phalacrocorax magellanicus|Suliformes|Phalacrocoracidae|Phalacrocorax|magellanicus|174745|Avian
pelagic cormorant|Phalacrocorax pelagicus|Suliformes|Phalacrocoracidae|Phalacrocorax|pelagicus|174725|Avian
Brandt's cormorant|Phalacrocorax penicillatus|Suliformes|Phalacrocoracidae|Phalacrocorax|penicillatus|174724|Avian
cormorant|Phalacrocorax sp.|Suliformes|Phalacrocoracidae|Phalacrocorax|Unknown|174714|Avian
red phalarope|Phalaropus fulicarius|Charadriiformes|Scolopacidae|Phalaropus|fulicarius|176734|Avian
red-necked phalarope|Phalaropus lobatus|Charadriiformes|Scolopacidae|Phalaropus|lobatus|176735|Avian
Wilson's phalarope|Phalaropus tricolor|Charadriiformes|Scolopacidae|Phalaropus|tricolor|176736|Avian
fowl|Phasianidae|Galliformes|Phasianidae|Unknown|Unknown|175861|Avian
common pheasant|Phasianus colchicus|Galliformes|Phasianidae|Phasianus|colchicus|175905|Avian
ring-necked pheasant|Phasianus colchicus|Galliformes|Phasianidae|Phasianus|colchicus|175905|Avian
pheasant|Phasianus sp.|Galliformes|Phasianidae|Phasianus|Unknown|175904|Avian
rose-breasted grosbeak|Pheucticus ludovicianus|Passeriformes|Cardinalidae|Pheucticus|ludovicianus|179139|Avian
black-headed grosbeak|Pheucticus melanocephalus|Passeriformes|Cardinalidae|Pheucticus|melanocephalus|179140|Avian
spot-breasted wren|Pheugopedius maculipectus|Passeriformes|Troglodytidae|Pheugopedius|maculipectus|915953|Avian
ruff|Philomachus pugnax|Charadriiformes|Scolopacidae|Philomachus|pugnax|176695|Avian
bare-faced ibis|Phimosus infuscatus|Pelecaniformes|Threskiornithidae|Phimosus|infuscatus|174969|Avian
spotted seal|Phoca largha|Carnivora|Phocidae|Phoca|largha|180642|Non-human Mammal
harbor seal|Phoca vitulina|Carnivora|Phocidae|Phoca|vitulina|180649|Non-human Mammal
Pacific harbor seal|Phoca vitulina richardii|Carnivora|Phocidae|Phoca|vitulina richardii|622092|Non-human Mammal
seal|Phocidae|Carnivora|Phocidae|Unknown|Unknown|180640|Non-human Mammal
harbor porpoise|Phocoena phocoena|Cetacea|Phocoenidae|Phocoena|phocoena|180473|Non-human Mammal
Burmeister's porpoise|Phocoena spinipinnis|Cetacea|Phocoenidae|Phocoena|spinipinnis|180476|Non-human Mammal
Andean flamingo|Phoenicoparrus andinus|Phoenicopteriformes|Phoenicopteridae|Phoenicoparrus|andinus|174980|Avian
Chilean flamingo|Phoenicopterus chilensis|Phoenicopteriformes|Phoenicopteridae|Phoenicopterus|chilensis|562025|Avian
greater flamingo|Phoenicopterus roseus|Phoenicopteriformes|Phoenicopteridae|Phoenicopterus|roseus|824111|Avian
Daurian redstart|Phoenicurus auroreus|Passeriformes|Muscicapidae|Phoenicurus|auroreus|562029|Avian
common redstart|Phoenicurus phoenicurus|Charadriiformes|Muscicapidae|Phoenicurus|phoenicurus|562037|Avian
white-throated greenbul|Phyllastrephus albigularis|Passeriformes|Pycnonotidae|Phyllastrephus|albigularis|562060|Avian
icterine greenbul|Phyllastrephus icterinus|Passeriformes|Pycnonotidae|Phyllastrephus|icterinus|562072|Avian
Arctic warbler|Phylloscopus borealis|Passeriformes|Phylloscopidae|Phylloscopus|borealis|179843|Avian
common chiffchaff|Phylloscopus collybita|Passeriformes|Phylloscopidae|Phylloscopus|collybita|562129|Avian
dusky warbler|Phylloscopus fuscatus|Passeriformes|Phylloscopidae|Phylloscopus|fuscatus|179846|Avian
Hume's warbler|Phylloscopus humei|Passeriformes|Phylloscopidae|Phylloscopus|humei|916712|Avian
Radde's warbler|Phylloscopus schwarzi|Passeriformes|Phylloscopidae|Phylloscopus|schwarzi|562154|Avian
wood warbler|Phylloscopus sibillatrix|Passeriformes|Phylloscopidae|Phylloscopus|sibillatrix|916708|Avian
warbler|Phylloscopus sp.|Passeriformes|Phylloscopidae|Phylloscopus|Unknown|179840|Avian
pale-legged leaf warbler|Phylloscopus tenellipes|Passeriformes|Phylloscopidae|Phylloscopus|tenellipes|562157|Avian
greenish warbler|Phylloscopus trochiloides|Passeriformes|Phylloscopidae|Phylloscopus|trochiloides|562159|Avian
willow warbler|Phylloscopus trochilus|Passeriformes|Phylloscopidae|Phylloscopus|trochilus|179841|Avian
squirrel cuckoo|Piaya cayana|Cuculiformes|Cuculidae|Piaya|cayana|554785|Avian
black-bellied cuckoo|Piaya melanogaster|Cuculiformes|Cuculidae|Piaya|melanogaster|554786|Avian
black-billed magpie|Pica hudsonia|Passeriformes|Corvidae|Pica|hudsonia|726117|Avian
Eurasian magpie|Pica pica|Passeriformes|Corvidae|Pica|pica|179720|Avian
checkered woodpecker|Picoides mixtus|Piciformes|Picidae|Picoides|mixtus|554054|Avian
downy woodpecker|Picoides pubescens|Piciformes|Picidae|Picoides|pubescens|178259|Avian
hairy woodpecker|Picoides villosus|Piciformes|Picidae|Picoides|villosus|178262|Avian
laced woodpecker|Picus vittatus|Piciformes|Picidae|Picus|vittatus|554117|Avian
pine grosbeak|Pinicola enucleator|Passeriformes|Fringillidae|Pinicola|enucleator|179205|Avian
blue-headed parrot|Pionus menstruus|Psittaciformes|Psittacidae|Pionus|menstruus|554917|Avian
green-tailed towhee|Pipilo chlorurus|Passeriformes|Emberizidae|Pipilo|chlorurus|179310|Avian
eastern towhee|Pipilo erythrophthalmus|Passeriformes|Emberizidae|Pipilo|erythrophthalmus|179276|Avian
spotted towhee|Pipilo maculatus|Passeriformes|Emberizidae|Pipilo|maculatus|554380|Avian
Egyptian pipistrelle|Pipistrellus deserti|Chiroptera|Vespertilionidae|Pipistrellus|deserti|946159|Non-human Mammal
Java pipistrelle bat|Pipistrellus javanicus|Chiroptera|Vespertilionidae|Pipistrellus|javanicus|632105|Non-human Mammal
Kuhl's pipistrelle|Pipistrellus kuhlii|Chiroptera|Vespertilionidae|Pipistrellus|kuhlii|632108|Non-human Mammal
western tanager|Piranga ludoviciana|Passeriformes|Cardinalidae|Piranga|ludoviciana|179882|Avian
scarlet tanager|Piranga olivacea|Passeriformes|Cardinalidae|Piranga|olivacea|179883|Avian
summer tanager|Piranga rubra|Passeriformes|Cardinalidae|Piranga|rubra|179888|Avian
lesser kiskadee|Pitangus lictor|Passeriformes|Tyrannidae|Pitangus|lictor|711542|Avian
great kiskadee|Pitangus sulphuratus|Passeriformes|Tyrannidae|Pitangus|sulphuratus|178301|Avian
roseate spoonbill|Platalea ajaja|Pelecaniformes|Threskiornithidae|Platalea|ajaja|174941|Avian
yellow-billed spoonbill|Platalea flavipes|Pelecaniformes|Threskiornithidae|Platalea|flavipes|174936|Avian
Eurasian spoonbill|Platalea leucorodia|Pelecaniformes|Threskiornithidae|Platalea|leucorodia|174933|Avian
royal spoonbill|Platalea regia|Pelecaniformes|Threskiornithidae|Platalea|regia|174938|Avian
flowered racer|Platyceps florulentus|Squamata|Colubridae|Platyceps|florulentus|1081679|Other
chestnut wattle-eye|Platysteira castanea|Passeriformes|Platysteiridae|Platysteira|castanea|562266|Avian
brown-throated wattle-eye|Platysteira cyanea|Passeriformes|Platysteiridae|Platysteira|cyanea|562269|Avian
snow bunting|Plectrophenax nivalis|Passeriformes|Calcariidae|Plectrophenax|nivalis|179532|Avian
spur-winged goose|Plectropterus gambensis|Anseriformes|Anatidae|Plectropterus|gambensis|175249|Avian
white-faced ibis|Plegadis chihi|Pelecaniformes|Threskiornithidae|Plegadis|chihi|174926|Avian
glossy ibis|Plegadis falcinellus|Pelecaniformes|Threskiornithidae|Plegadis|falcinellus|174924|Avian
orange weaver|Ploceus aurantius|Passeriformes|Ploceidae|Ploceus|aurantius|562282|Avian
village weaver|Ploceus cucullatus|Passeriformes|Ploceidae|Ploceus|cucullatus|562296|Avian
Asian golden weaver|Ploceus hypoxanthus|Passeriformes|Ploceidae|Ploceus|hypoxanthus|562303|Avian
little weaver|Ploceus luteolus|Passeriformes|Ploceidae|Ploceus|luteolus|562308|Avian
streaked weaver|Ploceus manyar|Passeriformes|Ploceidae|Ploceus|manyar|562309|Avian
Vieillot's black weaver|Ploceus nigerrimus|Passeriformes|Ploceidae|Ploceus|nigerrimus|562315|Avian
black-necked weaver|Ploceus nigricollis|Passeriformes|Ploceidae|Ploceus|nigricollis|562316|Avian
spectacled weaver|Ploceus ocularis|Passeriformes|Ploceidae|Ploceus|ocularis|916822|Avian
slender-billed weaver|Ploceus pelzelni|Passeriformes|Ploceidae|Ploceus|pelzelni|916819|Avian
baya weaver|Ploceus philippinus|Passeriformes|Ploceidae|Ploceus|philippinus|562321|Avian
weaver|Ploceus sp.|Passeriformes|Ploceidae|Ploceus|Unknown|558084|Avian
compact weaver|Ploceus superciliosus|Passeriformes|Ploceidae|Ploceus|superciliosus|916190|Avian
European golden-plover|Pluvialis apricaria|Charadriiformes|Charadriidae|Pluvialis|apricaria|176561|Avian
American golden plover|Pluvialis dominica|Charadriiformes|Charadriidae|Pluvialis|dominica|176564|Avian
Pacific golden-plover|Pluvialis fulva|Charadriiformes|Charadriidae|Pluvialis|fulva|554381|Avian
black-bellied plover|Pluvialis squatarola|Charadriiformes|Charadriidae|Pluvialis|squatarola|176567|Avian
grey plover|Pluvialis squatarola|Charadriiformes|Charadriidae|Pluvialis|squatarola|176567|Avian
horned grebe|Podiceps auritus|Podicipediformes|Podicipedidae|Podiceps|auritus|174482|Avian
great crested grebe|Podiceps cristatus|Podicipediformes|Podicipedidae|Podiceps|cristatus|174491|Avian
red-necked grebe|Podiceps grisegena|Podicipediformes|Podicipedidae|Podiceps|grisegena|174479|Avian
great grebe|Podiceps major|Podicipediformes|Podicipedidae|Podiceps|major|174492|Avian
eared grebe|Podiceps nigricollis|Podicipediformes|Podicipedidae|Podiceps|nigricollis|174485|Avian
pied-billed grebe|Podilymbus podiceps|Podicipediformes|Podicipedidae|Podilymbus|podiceps|174505|Avian
black-capped chickadee|Poecile atricapillus|Passeriformes|Paridae|Poecile|atricapillus|554382|Avian
Carolina chickadee|Poecile carolinensis|Passeriformes|Paridae|Poecile|carolinensis|554383|Avian
mountain chickadee|Poecile gambeli|Passeriformes|Paridae|Poecile|gambeli|554385|Avian
boreal chickadee|Poecile hudsonicus|Passeriformes|Paridae|Poecile|hudsonicus|554386|Avian
willow tit|Poecile montanus|Passeriformes|Paridae|Poecile|montanus|562353|Avian
yellow-rumped tinkerbird|Pogoniulus bilineatus|Piciformes|Lybiidae|Pogoniulus|bilineatus|554208|Avian
speckled tinkerbird|Pogoniulus scolopaceus|Piciformes|Lybiidae|Pogoniulus|scolopaceus|554202|Avian
yellow-throated tinkerbird|Pogoniulus subsulphureus|Piciformes|Lybiidae|Pogoniulus|subsulphureus|554207|Avian
masked gnatcatcher|Polioptila dumicola|Passeriformes|Polioptilidae|Polioptila|dumicola|562375|Avian
Steller's eider|Polysticta stelleri|Anseriformes|Anatidae|Polysticta|stelleri|175153|Avian
vesper sparrow|Pooecetes gramineus|Passeriformes|Emberizidae|Pooecetes|gramineus|179366|Avian
Allen's gallinule|Porphyrio alleni|Gruiformes|Rallidae|Porphyrio|alleni|562421|Avian
purple gallinule|Porphyrio martinica|Gruiformes|Rallidae|Porphyrio|martinica|707815|Avian
purple swamphen|Porphyrio porphyrio|Gruiformes|Rallidae|Porphyrio|porphyrio|176390|Avian
African swamphen|Porphyrio porphyrio madagascariensis|Gruiformes|Rallidae|Porphyrio|porphyrio madagascariensis|708094|Avian
swamphen|Porphyrio sp.|Gruiformes|Rallidae|Porphyrio|Unknown|176388|Avian
sora|Porzana carolina|Gruiformes|Rallidae|Porzana|carolina|176242|Avian
