#Host Common Name|Host Species|Order|Family|Genus|Species|ITIS Number|Species Type
silver teal|Anas versicolor|Anseriformes|Anatidae|Anas|versicolor|175117|Avian
Asian openbill|Anastomus oscitans|Ciconiiformes|Ciconiidae|Anastomus|oscitans|174904|Avian
diving duck|Anatidae|Anseriformes|Anatidae|Unknown|Unknown|174983|Avian
duck|Anatidae|Anseriformes|Anatidae|Unknown|Unknown|174983|Avian
goose|Anatidae|Anseriformes|Anatidae|Unknown|Unknown|174983|Avian
greenbul|Andropadus sp.|Passeriformes|Pycnonotidae|Andropadus|Unknown|557411|Avian
darter|Anhinga melanogaster|Suliformes|Anhingidae|Anhinga|melanogaster|174758|Avian
Hyacinth macaw|Anodorhynchus hyacinthinus|Psittaciformes|Psittacidae|Anodorhynchus|hyacinthinus|177655|Avian
lesser noddy|Anous tenuirostris|Charadriiformes|Sternidae|Anous|tenuirostris|176943|Avian
greater white-fronted goose|Anser albifrons|Anseriformes|Anatidae|Anser|albifrons|175020|Avian
greylag goose|Anser anser|Anseriformes|Anatidae|Anser|anser|175028|Avian
domestic greylag goose|Anser anser anser|Anseriformes|Anatidae|Anser|anser anser|714769|Avian
domestic goose|Anser anser domesticus|Anseriformes|Anatidae|Anser|anser domesticus|NA|Avian
domestic greylag goose|Anser anser domesticus|Anseriformes|Anatidae|Anser|anser domesticus|NA|Avian
pink-footed goose|Anser brachyrhynchus|Anseriformes|Anatidae|Anser|brachyrhynchus|175036|Avian
swan goose|Anser cygnoides|Anseriformes|Anatidae|Anser|cygnoides|175032|Avian
lesser white-fronted goose|Anser erythropus|Anseriformes|Anatidae|Anser|erythropus|175033|Avian
bean goose|Anser fabalis|Anseriformes|Anatidae|Anser|fabalis|175024|Avian
taiga bean goose|Anser fabalis fabalis|Anseriformes|Anatidae|Anser|fabalis fabalis|714766|Avian
tundra bean goose|Anser fabalis serrirostris|Anseriformes|Anatidae|Anser|fabalis serrirostris|175027|Avian
bar-headed goose|Anser indicus|Anseriformes|Anatidae|Anser|indicus|175034|Avian
goose|Anser sp.|Anseriformes|Anatidae|Anser|Unknown|175019|Avian
waterfowl|Anseriformes|Anseriformes|Unknown|Unknown|Unknown|174982|Avian
little green sunbird|Anthreptes seimundi|Passeriformes|Nectariniidae|Anthreptes|seimundi|916387|Avian
demoiselle crane|Anthropoides virgo|Gruiformes|Gruidae|Anthropoides|virgo|176192|Avian
short-tailed pipit|Anthus brachyurus|Passeriformes|Motacillidae|Anthus|brachyurus|558637|Avian
tawny pipit|Anthus campestris|Passeriformes|Motacillidae|Anthus|campestris|558640|Avian
olive-backed pipit|Anthus hodgsoni|Passeriformes|Motacillidae|Anthus|hodgsoni|178495|Avian
yellowish pipit|Anthus lutescens|Passeriformes|Motacillidae|Anthus|lutescens|558655|Avian
long-legged pipit|Anthus pallidiventris|Passeriformes|Motacillidae|Anthus|pallidiventris|558661|Avian
American pipit|Anthus rubescens|Passeriformes|Motacillidae|Anthus|rubescens|554127|Avian
water pipit|Anthus spinoletta|Passeriformes|Motacillidae|Anthus|spinoletta|178489|Avian
tree pipit|Anthus trivialis|Passeriformes|Motacillidae|Anthus|trivialis|178500|Avian
lowland masked apalis|Apalis binotata|Passeriformes|Cisticolidae|Apalis|binotata|558678|Avian
masked apalis|Apalis binotata|Passeriformes|Cisticolidae|Apalis|binotata|558678|Avian
yellow-necked field mouse|Apodemus flavicollis|Rodentia|Muridae|Apodemus|flavicollis|585132|Non-human Mammal
field mouse|Apodemus mystacinus|Rodentia|Muridae|Apodemus|mystacinus|585137|Non-human Mammal
little swift|Apus affinis|Apodiformes|Apodidae|Apus|affinis|555014|Avian
common swift|Apus apus|Apodiformes|Apodidae|Apus|apus|178010|Avian
house swift|Apus nipalensis|Apodiformes|Apodidae|Apus|nipalensis|555015|Avian
golden eagle|Aquila chrysaetos|Accipitriformes|Accipitridae|Aquila|chrysaetos|175407|Avian
eastern imperial eagle|Aquila heliaca|Accipitriformes|Accipitridae|Aquila|heliaca|175413|Avian
